Teks;Kelas
Cepat, bersih dan on time ! Time is money buat orang kerja.;1
@mrtjakarta Alhamdulillah STNK jatuh disimpenin ama team MRT Haji Nawi. Super duper terima kasih yaaaa mas nyaaaa...!!!!!!;1
"Reply tweetnya ""kenapa gak boleh?"" ""kalo haus gimana?"" Gini loh, ya supaya di sekitar peron bersih dan gak ada sampah makan dan minum. Mungkin kamu bisa gak buang sampah sembarangan, gimana dengan yang lain? Ada baiknya sebelum tap kartu minum atau makan dulu. toh ya bentar doang";1
yes sudah sampai di rumah dengan selamat semangat, MRT Jakarta!;1
mantap MRTJakarta....Padahal yg salah PLN .... ??;1
wah..MRT hebat,para penumpang nya bisa berbaris rapi bgitu ya..;1
@DKIJakarta ini lebih rapi dan enak dilihat kalo kabel2nya lewat bawah tanah. Kaya yg di Cikini, udah rapi.;1
Salut @mrtjakarta. Contoh profesionalisme dan pelayanan publik yang benar  . Heloo..PLN @pln_123 ? Can you ?;1
Bravo @mrtjakarta moda transportasi umum paling paten deh;1
Semoga berjalan lancar. Dan perlu Di informasi lebih banyak sosialisasi prosedurnya bila terjadi seperti ini dikemudian hari;1
Salut dengan tindakan penanggulangan kondisi darurat yang dilakukan oleh tim MRTjakarta. Penumpang selamat, fisik kereta aman, dan stasiun terhindar dari kepanikan. Agar Emergency Procedure MRTJ terus dievaluasi dan diperbaharui guna mengantisipasi hal2 yang tidak diinginkan.;1
Profesionalitas yg tinggi;1
Masjid H.Abdul Muni ini susah diakses jalan nya. Diantara kawasan transit dukuh atas ini minus nya menurut saya adalah masjid jami, kan susah kalau hari Jumat mau nguber kereta jam 1an. Tks;0
Yg bener min? Waktu itu di stasiun mrt senayan, saya pake tap cash saldo masih sekiatr Rp 60.000 ko ditolak ? Tolong deh mesin nya selalu dicek dan dirawat sama ahlinya.;0
Kepada @mrtjakarta bukan masalah kurang saldo atau kurang lama tahan kartu ini mah. Tapi masalah pada mesin atau sistemnya. Tolong deh dibuat lebih smooth. Orang pilih naik MRT karena dapat diandalkan. Jangan malah jadi gak nyaman hanya karena masalah saat tap.;0
"Kenapa suka terjadi ""Kartu Tidak Dapat Digunakan"" ya padahal saldo mencukupi? Harus di reset baru berhasil. Hal itu tidak saja menyusahkan penumpang yang mengalami tapi juga bikin antrian panjang & memperlambat penumpang2 lain. FYI, case spt ini tidak terjadi saat tap di TransJakarta. Thx.";0
Lagi dan lagi kejadian seperti ini terjadi. Saldo cukup. Kartu sudah ditahan. TAPI TETAP ERROR SEHINGGA KARTU HARUS DI-RESET! Yang benar saja petugas MRT! TIAP KALI MASA HARUS DI-RESET DULU? Kalian melakukan perbaikan gak sih? ??Jadi jelek nih citra MRT  karena masalah tap. ????;0
Kereta jadwal 8.58 dari dukuh atas, tidak ada petugas security yang melakukan inspeksi penumpang pria yg biasanya rutin di perbatasan gerbong pertama. Sangat Kecewa terhadap petugas security;0
Saran nih, perlu diperluas ini parkiran park and ride nya. Tiap hari parkir di sini, jam 10 sudah lumayan numpuk jadi harus parkir paralel. Terus trotoar ke stasiun, bau pesing dan pinggir - pinggirannya perlu tempat sampah deh, orang - orang suka buang botol minuman + puntung rokok di situ. Nyebelin bgt ??;0
Min tolong dibuatkan koridor (atap) ke Park & Ride agar kalau hujan tetap bisa lewat, yang kedua jalan dari park and ride ke stasiun lebak bulus suka bau pesing;0
Semoga aman semua bapak ibu yang bertugas di sana. Sebaiknya ketika terjadi kekacauan seperti ini, MRT dihentikan dulu saja, demi keamanan semua.;0
Min, tadi beli single trip, tapi pas tapping kok gak bisa digunain? Merah gitu. Itu kenapa ya? Udah ditanya ke loket juga, tp gabisa diganti kartunya. Sebel bgt wkwk Akhirnya;0
Ngomong - ngomong  petugas loket tiket MRT di stasiun lebak bulus  juga gak ramah, jutek @mrtjakarta;0
Pihak MRT seharusnya memperbaiki mesin untuk pembaca kartu tiket, agar lebih cepat lagi kerja mesinnya. Selama ini mesin untuk pembaca kartu semuanya sangat lambat dibandingkan dengan MRT yang ada di Jepang. Dari kejadian dapat tersebut menyebabkan antrian yang sangat panjang. Bukankah pihak MRT mengharapkan lebih banyak penumpang di masa depan?;0
